IDDocumentoLegal;DSDocumentoLegal
101;REPC REQUERIMENTO DE PESQUISA COMPLETO
102;REPI REQUERIMENTO DE PESQUISA INCOMPLETO
103;RLGL REQUERIMENTO DE LAVRA GARIMPEIRA
104;RGRU REQUERIMENTO DE GRUPAMENTO MINEIRO
105;RCON REQUERIMENTO DE CONSORCIO DE MINERAÇÃO
106;PLCM REQUERIMENTO DE LICENCIAMENTO
107;RERG REQUERIMENO DE RECONHECIMENTO GEOLÓGICO
108;RGRU REQUERIMENTO DE GRUPAMENTO MINEIRO
176;AUT PESQ/ALVARÁ DE PESQUISA DE CESSÃO
201;ALVR ALVARÁ DE PESQUISA
202;ARET ALVARÁ DE PESQUISA RETIFICADO
203;NALV ALVARÁ DE PESQUISA RENOVADO
204;NAV1 ALVARÁ DE PESQUISA RENOVADO POR 1 ANO
205;NAV2 ALVARÁ DE PESQUISA RENOVADO POR 2 ANOS
206;NAV3 ALVARÁ DE PESQUISA RENOVADO POR 3 ANOS
301;DISP ÁREA EM DISPONIBILIDADE PARA PESQUISA
302;DISL ÁREA EM DISPONIBILIDADE PARA LAVRA
303;ANUL ALVARÁ DE PESQUISA DECLARADO NULO
304;ACAD ALVARÁ DE PESQUISA CADU/S.EFEITO/REVOGAD
305;CADU CONCESSÃO CADUCADA/DECAÍDA/REVOGADA
306;CANU CONCESSÃO DECLARADA NULA
307;MANC MANIFESTO DE MINA CADU/S.EFEITO/REVOGADO
308;MANU MANIFESTO DE MINA DECLARADO NULO
309;MJAZ MANIFESTO DE JAZIDA
310;CEPO CONCESSÃO ENGLOBADA POR OUTRA
321;APU1 AUT PESQ/ALVARÁ DE PESQUISA 01 ANO PUBL
322;APU2 AUT PESQ/ALVARÁ DE PESQUISA 02 ANOS PUBL
323;APU3 AUT PESQ/ALVARÁ  DE PESQUISA 03 ANOS PUB
324;APR1 AUT PESQ/PRORROGAÇÃO PRAZO 01 ANO PUBL
325;APR2 AUT PESQ/PRORROGAÇÃO PRAZO 02 ANOS PUBL
326;APR3 AUT PESQ/PRORROGAÇÃO PRAZO 03 ANOS PUBL
327;RET1 AUT PESQ/DESPACHO RETIFICAÇÃO ALVARÁ PUB
328;ADSP DISPONIB/ÁREA DISPONÍVEL ART 26 CM PUBL
401;CLAV CONCESSÃO DE LAVRA
402;CLAR CONCESSÃO DE LAVRA RETIFICADA
403;MANF MANIFESTO DE MINA
404;CDES CONCESSÃO DESMEMBRADA DE OUTRA
405;PLGR CONC LAV/PERMISSÃO DE LAVRA GARIMPEIRA
406;CEOU CONCESSÃO QUE ENGLOBOU OUTRA
601;CONS CONSÓRCIO DE MINERAÇÃO
701;LCMN LICENCIAMENTO
801;RECG PERMISSÃO DE RECONHECIMENTO GEOLÓGICO
901;REGEXT REGISTRO DE EXTRAÇÃO 1 ANO PUBL
902;REGEXT REGISTRO DE EXTRAÇÃO 2 ANOS PUBL
903;REGEXT REGISTRO DE EXTRAÇÃO 3 ANOS PUBL
904;REGEXT REGISTRO DE EXTRAÇÃO 4 ANOS PUBL
905;REGEXT REGISTRO DE EXTRAÇÃO 5 ANOS PUBL
906;REG EXT/PRORROGAÇÃO DO PRAZO POR 01 ANO
907;REG EXT/PRORROGAÇÃO DO PRAZO POR 02 ANOS
908;REG EXT/PRORROGAÇÃO DO PRAZO POR 03 ANOS
909;REG EXT/PRORROGAÇÃO DO PRAZO POR 04 ANOS
910;REG EXT/PRORROGAÇÃO DO PRAZO POR 05 ANOS
911;REGISTRO DE EXTRAÇÃO CANCELADO
912;PERMISSÃO LAVRA GARIMPEIRA CANCELADA
913;REGISTRO DE LICENÇA CANCELADO
914;LCMN LICENCIAMENTO
915;PERMISSÃO LAVRA GARIMPEIRA RENOVADA
916;REGISTRO DE EXTRAÇÃO PRORROGADO
917;PERMISSÃO LAVRA GARIMPEIRA RENOVADA - COVID
964;APU4 AUT PESQ/ALVARÁ DE PESQUISA 04 ANOS PUB
965;APR4 AUT PESQ/PRORROGAÇÃO PRAZO 04 ANOS PUBL
966;ALVARÁ SUSPENSO JUDICIALMENTE
967;SUSPENSÃO JUDICIAL ALVARÁ ENCERRADA
968;PORTARIA DE LAVRA SUSPENSA JUDICIALMENTE
969;SUSPENSÃO JUDICIAL DA PORTARIA DE LAVRA ENCERRADA
1330;REGISTRO DE EXTRAÇÃO ANULADO
2132;CLAV CONCESSÃO DE LAVRA
2133;CLAR CONCESSÃO DE LAVRA RETIFICADA
2134;CANU CONCESSÃO DECLARADA NULA
2135;CADU CONCESSÃO CADUCADA/DECAÍDA/REVOGADA
2140;CANU CONCESSÃO DECLARADA NULA
2141;CLCP CONC LAV CESSÃO PARCIAL EM OUTRAS
2142;CLCP CONC LAV CESSÃO PARCIAL DE OUTRA
2481;VENCIMENTO ALVARÁ ALTERADO RESOLUÇÃO 76/2021 - COVID
2611;CLAV CONCESSÃO DE LAVRA
2618;CONC LAV/PORTARIA ENGLOBANDO ÁREAS PESQUISADAS - ANM
2729;CEPO CONCESSÃO ENGLOBANDO OUTRA-ANM
