IDEvento;DSEvento
1;PROCESSO LOCALIZADO EM FAIXA DE FRONTEIRA
2;DOCUMENTO DIVERSO PROTOC
3;EXIGÊNCIA PUBL
4;CUMPRIMENTO EXIGÊNCIA PROTOC
5;DÉBITO INSCRITO NA DÍVIDA ATIVA
6;RECONSTITUIÇÃO DE PROCESSO AUTORIZADA PUBL
7;PROCESSO COM PRAZO SUSPENSO
10;RECONH GEOL/REQUERIMENTO RECONHECIMENTO GEOLÓGICO PROTOC
11;RECONH GEOL/DESISTÊNCIA RECONH GEOLÓGICO PROTOC
12;RECONH GEOL/DESISTÊNCIA RECONH GEOLÓGICO HOMOLOGADA PUBL
15;RECONH GEOL/INDEFERIMENTO DE PLANO PUBL
16;RECONH GEOL/INDEFERIMENTO ÁREA LIVRE PUBL
20;RECONH GEOL/ASSENTIMENTO EMFA PROTOC
21;AUTO DE INFRAÇÃO MULTA-RAL PUBL
22;TORNA S/EFEITO AUTO INFRAÇÃO-RAL PUBL
23;ARQUIVAMENTO AUTO DE INFRAÇÃO-RAL PUBL
24;MULTA APLICADA-RAL PUBL
25;PAGAMENTO DA MULTA EFETUADO-RAL PROTOC
26;TORNA S/EFEITO MULTA APLICADA-RAL PUBL
27;EXIGÊNCIA PARA APRESENTAÇÃO DE RAL PUBL
30;RECONH GEOL/PERMISSÃO RECONHECIMENTO GEOLÓGICO PUBL
50;RECONH GEOL/RELATÓRIO RECONH GEOLÓGICO PROTOC
99;DISPONIB/ÁREA S/PRETENDENTE PROCESSO ARQUIVADO - ÁREA LIVRE
100;REQ PESQ/REQUERIMENTO PESQUISA PROTOC
101;REQ PESQ/INDEFERIMENTO DE PLANO CAPUT ART 17 CM PUBL
102;REQ PESQ/INDEFERIMENTO DE PLANO PUBL
103;AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL ANULADA PUBL
104;REQ PESQ/REQUERIMENTO PESQUISA INCOMPLETO PROTOC
105;REQ PESQ/REQUERIMENTO PESQUISA COMPLEMENTAÇÃO PROTOC
106;AUT PESQ/TORNA S/EFEITO MULTA APLICADA PUBL
107;REQ PESQ/ACORDO C/SUPERFICIÁRIO PROTOC
108;REQ PESQ/PEDIDO INCORPORCAO/CESSÃO PROTOC
109;AUT PESQ/TORNA S/EFEITO AUTO INFRAÇÃO PUBL
110;REQ PESQ/ASSENTIMENTO CDN SOLICITAÇÃO PROTOC
111;REQ PESQ/CONSULTA FUNAI ENCAMINHADA
112;REQ PESQ/CONSULTA MINIST MARINHA ENCAMINHADA
113;REQ PESQ/CONSULTA ORGÃOS DIVERS ENCAMINHADA
