DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
000.022/1994;000.448/1952;4;2000-04-05;;*
000.022/1994;001.316/1946;4;2000-04-05;;*
000.038/2017;003.264/1953;1;2017-08-28;;*
000.070/1961;840.297/2015;8;2015-11-20;;*
000.071/1961;840.021/2016;8;2016-02-01;;*
000.130/1959;301.047/2013;8;2013-11-08;;*
000.130/1959;301.048/2013;8;2013-11-08;;*
000.130/1959;301.049/2013;8;2013-11-08;;*
000.200/1952;910.599/1985;2;2000-04-18;;*
000.203/1948;810.198/2016;3;2016-03-07;;*
000.231/1994;000.412/1953;4;2014-01-28;;*
000.231/1994;000.592/1953;4;2014-01-28;;*
000.231/1994;003.532/1959;4;2023-08-02;;*
000.231/1994;811.759/1971;4;2014-01-28;;*
000.231/1994;830.017/1985;4;2023-08-02;;*
000.231/1994;832.333/1983;4;2023-08-02;;*
000.268/1963;933.980/2010;4;2022-01-07;;*
000.288/1963;933.980/2010;4;2022-01-07;;*
000.315/1936;302.894/2015;8;2015-10-29;;*
000.315/1936;820.241/2013;2;2013-03-13;;*
000.315/1936;820.244/2013;2;2013-03-13;;*
000.337/1940;815.028/2015;3;2015-02-03;;*
000.337/1940;815.252/2022;3;2022-08-11;;*
000.337/1940;815.354/2018;2;2018-06-20;;*
000.337/1940;816.102/2013;2;2013-12-23;;*
000.367/1997;802.203/1975;4;2012-12-14;;*
000.367/1997;802.206/1975;4;2015-09-30;;*
000.367/1997;802.212/1975;4;2015-09-30;;*
000.367/1997;802.266/1978;4;2015-09-30;;*
000.367/1997;807.869/1975;4;2015-09-30;;*
000.367/1997;870.226/1982;4;2015-09-30;;*
000.413/1961;854.011/1976;4;2020-07-23;;*
000.541/1935;831.814/2014;7;2014-07-01;;*
000.579/1946;830.108/2014;7;2014-01-20;;*
000.579/1946;832.376/2024;7;2024-11-24;;*
000.599/1937;815.280/2010;2;2010-05-07;;*
000.599/1937;815.706/2014;2;2014-11-07;;*
000.631/1936;815.320/2016;2;2016-05-04;;*
000.650/1937;000.267/1949;4;2008-08-05;2008-01-01;*
000.650/1937;001.736/1948;4;2008-08-05;2008-01-01;*
000.650/1937;003.476/1943;4;2008-08-05;2008-01-01;*
000.650/1937;004.512/1960;4;2008-08-05;2008-01-01;*
000.650/1937;006.048/1960;4;2008-08-05;2008-01-01;*
000.650/1937;006.748/1964;4;2008-08-05;2008-01-01;*
000.650/1937;007.805/1941;4;2008-08-05;2008-01-01;*
000.650/1937;801.278/1969;4;2008-08-05;2008-01-01;*
000.650/1937;804.240/1971;4;2008-08-05;2008-01-01;*
000.816/1946;833.900/2011;8;2011-10-03;;*
000.820/1937;008.201/1937;1;2013-08-09;;*
000.820/1937;008.201/1937;99;2013-08-09;;*
000.847/1935;831.457/2022;2;2022-07-21;;*
000.847/1935;832.024/2014;7;2014-07-18;;*
000.847/1935;832.025/2014;7;2014-07-18;;*
000.890/1953;803.098/1968;5;2004-07-09;;*
001.005/1960;933.980/2010;4;2022-01-07;;*
001.032/1952;920.713/2002;4;2017-01-04;;*
001.063/1958;830.835/2023;7;2023-03-27;;*
001.090/1957;832.139/2024;7;2024-11-06;;*
001.119/1939;830.640/2019;7;2019-05-31;;*
001.119/1939;830.641/2019;7;2019-05-31;;*
001.119/1939;830.642/2019;7;2019-05-31;;*
001.161/1956;820.734/2016;8;2016-11-10;;*
001.229/1962;820.161/2016;8;2016-03-03;;*
001.286/1940;830.847/2024;8;2024-05-09;;*
001.492/1936;815.011/2019;3;2019-01-11;;*
001.492/1936;815.012/2019;3;2019-01-11;;*
001.492/1936;815.013/2019;3;2019-01-11;;*
001.492/1936;815.174/2023;7;2023-07-12;;*
001.492/1936;815.423/2021;3;2021-07-15;;*
001.492/1936;815.477/2012;7;2012-09-12;;*
001.492/1936;815.548/2013;3;2013-07-09;;*
001.492/1936;815.583/2017;3;2017-10-05;;*
001.492/1936;815.589/2009;3;2009-09-18;;*
001.492/1936;815.593/2013;3;2013-07-19;;*
001.492/1936;815.594/2013;3;2013-07-19;;*
001.492/1936;815.611/2024;3;2024-12-20;;*
001.492/1936;815.784/2015;7;2015-10-22;;*
001.603/1940;830.107/2014;7;2014-01-20;;*
001.603/1940;832.375/2024;7;2024-11-24;;*
001.603/1940;833.368/2010;7;2010-08-26;;*
001.644/1935;016.441/1935;1;2014-09-09;;*
001.644/1935;016.441/1935;99;2014-09-09;;*
001.681/1959;933.980/2010;4;2022-01-07;;*
001.736/1963;896.362/2000;3;2013-08-21;;*
001.810/1959;821.020/2013;8;2013-09-25;;*
001.818/1963;920.078/1991;4;2017-01-02;;*
001.856/1936;920.078/1991;4;2017-01-02;;*
001.858/1936;920.078/1991;4;2017-01-02;;*
001.951/1962;818.934/1972;4;2017-01-04;;*
002.014/1941;815.430/2019;2;2019-12-10;;*
002.055/1962;818.934/1972;4;2017-01-04;;*
002.062/1935;834.088/2011;8;2011-10-17;;*
002.263/1967;832.316/2014;7;2014-08-20;;*
002.299/1937;920.078/1991;4;2017-01-02;;*
