DSProcesso;IDCondicaoPropriedadeSolo
011.492/1936;3
012.182/1937;3
014.938/1936;3
022.182/1937;3
032.182/1937;3
042.182/1937;3
043.001/1935;5
052.182/1937;3
062.182/1937;3
072.182/1937;3
082.182/1937;3
092.182/1937;3
102.182/1937;3
112.182/1937;3
122.182/1937;3
131.701/1964;3
132.182/1937;3
142.182/1937;3
152.182/1937;3
162.182/1937;3
166.301/1937;3
166.302/1937;3
166.303/1937;3
166.304/1937;3
166.305/1937;3
166.306/1937;3
166.307/1937;3
166.308/1937;3
166.309/1937;3
166.310/1937;3
166.311/1937;3
166.312/1937;3
166.313/1937;3
172.182/1937;3
182.182/1937;3
303.501/1936;3
303.502/1936;3
303.503/1936;3
441.001/1935;3
441.002/1935;3
490.501/1952;5
546.001/1954;3
650.000/1998;50
650.000/2000;50
650.000/2003;50
650.001/1998;50
650.001/2000;50
650.001/2003;50
650.002/1998;50
650.002/2000;50
650.002/2003;50
650.003/1998;50
650.003/2000;50
650.003/2003;50
650.004/1998;50
650.004/2000;50
650.004/2003;50
650.005/1998;50
650.005/2000;50
650.005/2003;50
650.006/1998;50
650.006/2000;50
650.006/2003;50
650.007/1998;50
650.007/2000;50
650.007/2003;50
650.008/1998;50
650.008/2000;50
650.008/2003;50
650.009/1998;50
650.009/2000;50
650.009/2003;50
650.010/1998;50
650.010/2003;50
650.011/1998;50
650.011/2003;50
650.012/1998;50
650.012/2003;50
650.013/1998;50
650.013/2003;50
650.014/1998;50
650.014/2003;50
650.015/1998;50
650.015/2003;50
650.016/1998;50
650.016/2003;50
650.017/1998;50
650.017/2003;50
650.018/1998;50
650.018/2003;50
650.019/1998;50
650.019/2003;50
650.020/1998;50
650.020/2003;50
650.021/1998;50
650.021/2003;50
650.022/1998;50
650.022/2003;50
650.023/1998;50
650.023/2003;50
650.024/1998;50
650.024/2003;50
650.025/1998;50
650.025/2003;50
650.026/1998;50
650.026/2003;50
650.027/1998;50
650.027/2003;50
650.028/1998;50
650.028/2003;50
650.029/1998;50
650.029/2003;50
650.030/1998;50
650.030/2003;50
650.031/1998;50
650.031/2003;50
650.032/1998;50
650.032/2003;50
650.033/1998;50
650.033/2003;50
650.034/1998;50
650.034/2003;50
650.035/1998;50
650.035/2003;50
650.036/1998;50
650.036/2003;50
650.037/1998;50
650.037/2003;50
650.038/1998;50
650.038/2003;50
650.039/1998;50
650.039/2003;50
650.040/1998;50
650.040/2003;50
650.041/1998;50
650.041/2003;50
650.042/1998;50
650.042/2003;50
650.043/1998;50
650.043/2003;50
650.044/1998;50
650.044/2003;50
650.045/1998;50
650.045/2003;50
650.046/1998;50
650.046/2003;50
650.047/1998;50
650.047/2003;50
650.048/1998;50
650.048/2003;50
650.049/1998;50
650.049/2003;50
650.050/1998;50
650.050/2003;50
650.051/1998;50
650.051/2003;50
650.052/1998;50
650.052/2003;50
650.053/1998;50
650.053/2003;50
650.054/1998;50
650.054/2003;50
650.055/1998;50
650.055/2003;50
650.056/1998;50
650.056/2003;50
650.057/1998;50
650.057/2003;50
650.058/1998;50
650.058/2003;50
650.059/1998;50
650.059/2003;50
650.060/1998;50
650.060/2003;50
650.061/1998;50
650.061/2003;50
650.062/1998;50
650.062/2003;50
650.063/1998;50
650.063/2003;50
650.064/1998;50
650.064/2003;50
650.065/1998;50
650.065/2003;50
650.066/1998;50
650.066/2003;50
650.067/1998;50
650.067/2003;50
650.068/1998;50
650.068/2003;50
650.069/1998;50
650.069/2003;50
650.070/1998;50
650.070/2003;50
650.071/1998;50
650.071/2003;50
650.072/1998;50
650.072/2003;50
