IDTipoRequerimento;DSTipoRequerimento
1;Requerimento de Autorização de Pesquisa
2;Requerimento de Lavra Garimpeira
3;Requerimento de Grupamento Mineiro
4;Requerimento de Consórcio de Mineração
5;Requerimento de Registro de Licença
6;Requerimento de Reconhecimento Geológico
7;Requerimento de Registro de Extração
8;Requerimento de Manifesto de Mina
9;Desconhecido
10;Ficha Cadastral
11;Requerimento de Disponibilidade para pesquisa
12;Requerimento de Disponibilidade para lavra
13;Requerimento de Englobamento de áreas
14;Requerimento de Cessão total
15;Requerimento de Cessão parcial
16;Requerimento de Lavra
17;Requerimento de Arrendamento Total
18;Requerimento de Arrendamento Parcial
19;Requerimento de Redução de Área
20;Requerimento de Desmembramento
22;Requerimento de Mudança de Regime para Aut. de Pesquisa
23;Requerimento de Mudança de Regime para Licenciamento
24;Requerimento de Mudança de Regime para PLG
25;Requerimento de Disponibilidade para Lavra Garimpeira
31;Requerimento de Área de Servidão
32;Requerimento de Disponibilidade para Pesquisa - Cumprimento Exigência
33;Requerimento de Disponibilidade para Lavra - Cumprimento Exigência
34;Requerimento de Disponibilidade Lavra Garimpeira - Cumprimento Exigência
35;Requerimento de Pesquisa - Oferta Pública 
36;Requerimento de Pesquisa - Leilão
37;Requerimento de Lavra Garimpeira - Oferta Pública / Avaliação Social
39;Requerimento de Lavra - Oferta Pública
40;Requerimento de Lavra - Leilão
