IDUnidadeProtocolizadora;DSUnidadeProtocolizadora
0;Unid. Protocolizadora Desc 0
99;Unid. Protocolizadora Desc 99
27201;Unid. Protocolizadora 1
27202;Unid. Protocolizadora 2
27203;Unid. Protocolizadora 3
27204;Unid. Protocolizadora 4
27205;Unid. Protocolizadora 5
27206;Unid. Protocolizadora 6
27207;Unid. Protocolizadora 7
27208;Unid. Protocolizadora 8
27209;Unid. Protocolizadora 9
27210;Unid. Protocolizadora 10
27211;Unid. Protocolizadora 11
27212;Unid. Protocolizadora 12
27213;Unid. Protocolizadora 13
27214;Unid. Protocolizadora 14
27215;Unid. Protocolizadora 15
27216;Unid. Protocolizadora 16
27217;Unid. Protocolizadora 17
27218;Unid. Protocolizadora 18
27219;Unid. Protocolizadora 19
27220;Unid. Protocolizadora 20
27221;Unid. Protocolizadora 21
27222;Unid. Protocolizadora 22
27223;Unid. Protocolizadora 23
27224;Unid. Protocolizadora 24
27225;Unid. Protocolizadora 25
27226;Unid. Protocolizadora 26
48051;DISTRITO FEDERAL
48052;RIO GRANDE DO SUL
48053;SÃO PAULO
48054;MINAS GERAIS
48058;PERNAMBUCO
48059;PARÁ
48061;GOIÁS
48062;BAHIA
48063;AMAZONAS
48064;RIO DE JANEIRO
48065;CEARÁ
48066;SANTA CATARINA
48068;MATO GROSSO
48069;PARANÁ
48070;RIO GRANDE DO NORTE
48071;PARAÍBA
48072;AMAPÁ
48073;TOCANTINS
48074;SERGIPE
48075;RONDÔNIA
48076;ESPÍRITO SANTO
48077;PIAUÍ
48078;MARANHÃO
48079;MATO GROSSO DO SUL
48080;RORAIMA
48081;ALAGOAS
48400;DISTRITO FEDERAL
48401;RIO GRANDE DO SUL
48402;SÃO PAULO
48403;MINAS GERAIS
48404;PERNAMBUCO
48405;PARÁ
48406;GOIÁS
48407;BAHIA
48408;AMAZONAS
48409;RIO DE JANEIRO
48410;CEARÁ
48411;SANTA CATARINA
48412;MATO GROSSO
48413;PARANÁ
48414;RIO GRANDE DO NORTE
48415;PARAÍBA
48416;AMAPÁ
48417;TOCANTINS
48418;SERGIPE
48419;RONDÔNIA
48420;ESPÍRITO SANTO
48421;PIAUÍ
48422;MARANHÃO
48423;MATO GROSSO DO SUL
48424;RORAIMA
48425;ALAGOAS
